"spp_id","order","family","genus","species","pt_name","en_name","sci_code","has_changed","original_id","created_at","updated_at"
1,Rheiformes,Rheidae,Rhea,americana,ema,Greater Rhea,RHEAME,0,,"2020-04-17 15:24:34","2020-04-17 15:24:34"
2,Tinamiformes,Tinamidae,Tinamus,tao,azulona,Gray Tinamou,TINTAO,0,,"2020-04-17 15:24:34","2020-04-17 15:24:34"
3,Tinamiformes,Tinamidae,Tinamus,solitarius,macuco,Solitary Tinamou,TINSOL,0,,"2020-04-17 15:24:34","2020-04-17 15:24:34"
4,Tinamiformes,Tinamidae,Tinamus,major,inambu-serra,Great Tinamou,TINMAJ,0,,"2020-04-17 15:24:34","2020-04-17 15:24:34"
5,Tinamiformes,Tinamidae,Tinamus,guttatus,inambu-galinha,White-throated Tinamou,TINGUT,0,,"2020-04-17 15:24:34","2020-04-17 15:24:34"
6,Tinamiformes,Tinamidae,Crypturellus,cinereus,inambu-pixuna,Cinereous Tinamou,CRYCIN,0,,"2020-04-17 15:24:34","2020-04-17 15:24:34"
7,Tinamiformes,Tinamidae,Crypturellus,soui,tururim,Little Tinamou,CRYSOU,0,,"2020-04-17 15:24:34","2020-04-17 15:24:34"
8,Tinamiformes,Tinamidae,Crypturellus,obsoletus,inambuguaçu,Brown Tinamou,CRYOBS,0,,"2020-04-17 15:24:34","2020-04-17 15:24:34"
9,Tinamiformes,Tinamidae,Crypturellus,undulatus,jaó,Undulated Tinamou,CRYUND,0,,"2020-04-17 15:24:34","2020-04-17 15:24:34"
10,Tinamiformes,Tinamidae,Crypturellus,strigulosus,inambu-relógio,Brazilian Tinamou,CRYSTR,0,,"2020-04-17 15:24:34","2020-04-17 15:24:34"
11,Tinamiformes,Tinamidae,Crypturellus,duidae,inambu-de-pé-cinza,Gray-legged Tinamou,CRYDUI,0,,"2020-04-17 15:24:34","2020-04-17 15:24:34"
12,Tinamiformes,Tinamidae,Crypturellus,erythropus,inambu-de-perna-vermelha,Red-legged Tinamou,CRYERY,0,,"2020-04-17 15:24:34","2020-04-17 15:24:34"
