name;id;family_id
Rhea;1;1
Tinamus;2;2
Crypturellus;3;2
Rhynchotus;4;2
Nothura;5;2
Taoniscus;6;2
Anhima;7;3
Chauna;8;3
Dendrocygna;9;4
Cygnus;10;4
Coscoroba;11;4
Chloephaga;12;4
Neochen;13;4
Cairina;14;4
Sarkidiornis;15;4
Callonetta;16;4
Amazonetta;17;4
Anas;18;4
Netta;19;4
Mergus;20;4
Heteronetta;21;4
Nomonyx;22;4
Oxyura;23;4
Penelope;24;5
Aburria;25;5
Ortalis;26;5
Nothocrax;27;5
Crax;28;5
Pauxi;29;5
Colinus;30;6
Odontophorus;31;6
Rollandia;32;7
Tachybaptus;33;7
Podilymbus;34;7
Podicephorus;35;7
Podiceps;36;7
Phoenicopterus;37;8
Phoenicoparrus;38;8
Aptenodytes;39;9
Spheniscus;40;9
Eudyptes;41;9
Phoebetria;42;10
Thalassarche;43;10
Diomedea;44;10
Macronectes;45;11
Fulmarus;46;11
Daption;47;11
Lugensa;48;11
Pterodroma;49;11
Halobaena;50;11
Pachyptila;51;11
Bulweria;52;11
Procellaria;53;11
Calonectris;54;11
Puffinus;55;11
Fregetta;56;12
Oceanites;57;12
Pelagodroma;58;12
Oceanodroma;59;12
Pelecanoides;60;13
Phaethon;61;14
Ciconia;62;15
Jabiru;63;15
Mycteria;64;15
Fregata;65;16
Morus;66;17
Sula;67;17
Nannopterum;68;18
Anhinga;69;19
Pelecanus;70;20
Tigrisoma;71;21
Agamia;72;21
Cochlearius;73;21
Zebrilus;74;21
Botaurus;75;21
Ixobrychus;76;21
Nycticorax;77;21
Nyctanassa;78;21
Butorides;79;21
Ardeola;80;21
Bubulcus;81;21
Ardea;82;21
Syrigma;83;21
Pilherodius;84;21
Egretta;85;21
Eudocimus;86;22
Plegadis;87;22
Cercibis;88;22
Mesembrinibis;89;22
Phimosus;90;22
Theristicus;91;22
Platalea;92;22
Cathartes;93;23
Coragyps;94;23
Sarcoramphus;95;23
Pandion;96;24
Leptodon;97;25
Chondrohierax;98;25
Elanoides;99;25
Gampsonyx;100;25
Elanus;101;25
Harpagus;102;25
Circus;103;25
Milvus;104;25
Accipiter;105;25
Ictinia;106;25
Busarellus;107;25
Rostrhamus;108;25
