genus_id;sci_code;en_name;pt_name;scientific_name;id
1;RHEAME;Greater Rhea;ema;Rhea americana;1
2;TINTAO;Gray Tinamou;azulona;Tinamus tao;2
2;TINSOL;Solitary Tinamou;macuco;Tinamus solitarius;3
2;TINMAJ;Great Tinamou;inambu-serra;Tinamus major;4
2;TINGUT;White-throated Tinamou;inambu-galinha;Tinamus guttatus;5
3;CRYCIN;Cinereous Tinamou;inambu-pixuna;Crypturellus cinereus;6
3;CRYSOU;Little Tinamou;tururim;Crypturellus soui;7
3;CRYOBS;Brown Tinamou;inambuguaçu;Crypturellus obsoletus;8
3;CRYUND;Undulated Tinamou;jaó;Crypturellus undulatus;9
3;CRYSTR;Brazilian Tinamou;inambu-relógio;Crypturellus strigulosus;10
3;CRYDUI;Gray-legged Tinamou;inambu-de-pé-cinza;Crypturellus duidae;11
3;CRYERY;Red-legged Tinamou;inambu-de-perna-vermelha;Crypturellus erythropus;12
3;CRYNOC;Yellow-legged Tinamou;jaó-do-sul;Crypturellus noctivagus;13
3;CRYATR;Black-capped Tinamou;inambu-de-coroa-preta;Crypturellus atrocapillus;14
3;CRYVAR;Variegated Tinamou;inambu-anhangá;Crypturellus variegatus;15
3;CRYBRE;Rusty Tinamou;inambu-carijó;Crypturellus brevirostris;16
3;CRYBAR;Bartlett's Tinamou;inambu-anhangaí;Crypturellus bartletti;17
3;CRYPAR;Small-billed Tinamou;inambu-chororó;Crypturellus parvirostris;18
3;CRYTAT;Tataupa Tinamou;inambu-chintã;Crypturellus tataupa;19
4;RHYRUF;Red-winged Tinamou;perdiz;Rhynchotus rufescens;20
5;NOTBOR;White-bellied Nothura;codorna-do-nordeste;Nothura boraquira;21
5;NOTMIN;Lesser Nothura;codorna-mineira;Nothura minor;22
5;NOTMAC;Spotted Nothura;codorna-amarela;Nothura maculosa;23
6;TAONAN;Dwarf Tinamou;codorninha;Taoniscus nanus;24
7;ANHCOR;Horned Screamer;anhuma;Anhima cornuta;25
8;CHATOR;Southern Screamer;tachã;Chauna torquata;26
9;DENBIC;Fulvous Whistling-Duck;marreca-caneleira;Dendrocygna bicolor;27
9;DENVID;White-faced Whistling-Duck;irerê;Dendrocygna viduata;28
9;DENAUT;Black-bellied Whistling-Duck;marreca-cabocla;Dendrocygna autumnalis;29
10;CYGMEL;Black-necked Swan;cisne-de-pescoço-preto;Cygnus melancoryphus;30
11;COSCOS;Coscoroba Swan;capororoca;Coscoroba coscoroba;31
12;CHLPIC;Upland Goose;ganso-de-magalhães;Chloephaga picta;32
13;NEOJUB;Orinoco Goose;pato-corredor;Neochen jubata;33
14;CAIMOS;Muscovy Duck;pato-do-mato;Cairina moschata;34
15;SARSYL;Comb Duck;pato-de-crista;Sarkidiornis sylvicola;35
16;CALLEU;Ringed Teal;marreca-de-coleira;Callonetta leucophrys;36
17;AMABRA;Brazilian Teal;ananaí;Amazonetta brasiliensis;37
18;ANASIB;Chiloe Wigeon;marreca-oveira;Anas sibilatrix;38
18;ANAFLA;Yellow-billed Teal;marreca-pardinha;Anas flavirostris;39
18;ANAACU;Northern Pintail;arrabio;Anas acuta;40
18;ANAGEO;Yellow-billed Pintail;marreca-parda;Anas georgica;41
18;ANABAH;White-cheeked Pintail;marreca-toicinho;Anas bahamensis;42
18;ANAVER;Silver Teal;marreca-cricri;Anas versicolor;43
18;ANADIS;Blue-winged Teal;marreca-de-asa-azul;Anas discors;44
18;ANACYA;Cinnamon Teal;marreca-colorada;Anas cyanoptera;45
18;ANAPLA;Red Shoveler;marreca-colhereira;Anas platalea;46
19;NETERY;Southern Pochard;paturi-preta;Netta erythrophthalma;47
19;NETPEP;Rosy-billed Pochard;marrecão;Netta peposaca;48
20;MEROCT;Brazilian Merganser;pato-mergulhão;Mergus octosetaceus;49
21;HETATR;Black-headed Duck;marreca-de-cabeça-preta;Heteronetta atricapilla;50
